2026-04-08 22:44:50 | INFO     | main | Loading config from: config\ecommerce_dwh_config.yaml
2026-04-08 22:44:51 | INFO     | dwh_loader | ✓ Connected to Data Warehouse: data/processed/ecommerce_dwh.db
2026-04-08 22:44:51 | INFO     | dwh_loader | ✓ Star Schema created from: config/star_schema.sql
2026-04-08 22:44:51 | INFO     | dwh_loader |   Tables: dim_customer, dim_date, dim_product, fact_sales, sqlite_sequence
2026-04-08 22:44:51 | INFO     | dwh_loader | ✓ dim_customer: Loaded 0 new, updated 199 existing rows
2026-04-08 22:44:51 | INFO     | dwh_loader |   Total unique keys: 199
2026-04-08 22:44:51 | INFO     | dwh_loader | ✓ dim_product: Loaded 0 new, updated 100 existing rows
2026-04-08 22:44:51 | INFO     | dwh_loader |   Total unique keys: 100
2026-04-08 22:44:51 | INFO     | dwh_loader | ✓ Loaded 731 rows into dim_date
2026-04-08 22:44:51 | INFO     | dwh_loader | ✓ Loaded 1,000 rows into fact_sales
2026-04-08 22:44:51 | INFO     | dwh_loader |   Total Revenue: $2,855,059.14
2026-04-08 22:44:51 | INFO     | dwh_loader |   Average Order: $2,855.06
2026-04-08 22:44:51 | INFO     | dwh_loader | ✓ Referential integrity verified - all foreign keys valid
2026-04-08 22:44:51 | INFO     | dwh_loader | ✓ Data Warehouse connection closed
2026-04-08 22:52:59 | INFO     | main | Loading config from: config\ecommerce_dwh_config.yaml
2026-04-08 22:53:00 | INFO     | dwh_loader | ✓ Connected to Data Warehouse: data/processed/ecommerce_dwh.db
2026-04-08 22:53:00 | INFO     | dwh_loader | ✓ Star Schema created from: config/star_schema.sql
2026-04-08 22:53:00 | INFO     | dwh_loader |   Tables: dim_customer, dim_date, dim_product, fact_sales, sqlite_sequence
2026-04-08 22:53:00 | INFO     | dwh_loader | ✓ dim_customer: Loaded 0 new, updated 199 existing rows
2026-04-08 22:53:00 | INFO     | dwh_loader |   Total unique keys: 199
2026-04-08 22:53:00 | INFO     | dwh_loader | ✓ dim_product: Loaded 0 new, updated 100 existing rows
2026-04-08 22:53:00 | INFO     | dwh_loader |   Total unique keys: 100
2026-04-08 22:53:00 | INFO     | dwh_loader | ✓ dim_date: Inserted 731 new rows (total 1,462)
2026-04-08 22:53:00 | ERROR    | dwh_loader | ❌ Failed to load fact_sales: foreign key mismatch - "fact_sales" referencing "dim_date"
2026-04-08 22:54:55 | INFO     | main | Loading config from: config\ecommerce_dwh_config.yaml
2026-04-08 22:54:56 | INFO     | dwh_loader | ✓ Connected to Data Warehouse: data/processed/ecommerce_dwh.db
2026-04-08 22:54:56 | INFO     | dwh_loader | ✓ Star Schema created from: config/star_schema.sql
2026-04-08 22:54:56 | WARNING  | dwh_loader | ⚠ Detected invalid dim_date schema (missing PRIMARY KEY). Rebuilding Star Schema...
2026-04-08 22:54:56 | INFO     | dwh_loader | ✓ Star Schema rebuilt successfully
2026-04-08 22:54:56 | INFO     | dwh_loader |   Tables: dim_customer, dim_date, dim_product, fact_sales, sqlite_sequence
2026-04-08 22:54:56 | INFO     | dwh_loader | ✓ dim_customer: Loaded 199 new, updated 0 existing rows
2026-04-08 22:54:56 | INFO     | dwh_loader |   Total unique keys: 199
2026-04-08 22:54:56 | INFO     | dwh_loader | ✓ dim_product: Loaded 100 new, updated 0 existing rows
2026-04-08 22:54:56 | INFO     | dwh_loader |   Total unique keys: 100
2026-04-08 22:54:56 | INFO     | dwh_loader | ✓ dim_date: Inserted 731 new rows (total 731)
2026-04-08 22:54:56 | INFO     | dwh_loader | ✓ Loaded 1,000 rows into fact_sales
2026-04-08 22:54:56 | INFO     | dwh_loader |   Total Revenue: $2,855,059.14
2026-04-08 22:54:56 | INFO     | dwh_loader |   Average Order: $2,855.06
2026-04-08 22:54:56 | INFO     | dwh_loader | ✓ Referential integrity verified - all foreign keys valid
2026-04-08 22:54:56 | INFO     | dwh_loader | ✓ Data Warehouse connection closed
2026-04-08 22:55:15 | INFO     | main | Loading config from: config\ecommerce_dwh_config.yaml
2026-04-08 22:55:16 | INFO     | dwh_loader | ✓ Connected to Data Warehouse: data/processed/ecommerce_dwh.db
2026-04-08 22:55:16 | INFO     | dwh_loader | ✓ Star Schema created from: config/star_schema.sql
2026-04-08 22:55:16 | INFO     | dwh_loader |   Tables: dim_customer, dim_date, dim_product, fact_sales, sqlite_sequence
2026-04-08 22:55:16 | INFO     | dwh_loader | ✓ dim_customer: Loaded 0 new, updated 199 existing rows
2026-04-08 22:55:16 | INFO     | dwh_loader |   Total unique keys: 199
2026-04-08 22:55:16 | INFO     | dwh_loader | ✓ dim_product: Loaded 0 new, updated 100 existing rows
2026-04-08 22:55:16 | INFO     | dwh_loader |   Total unique keys: 100
2026-04-08 22:55:16 | INFO     | dwh_loader | ✓ dim_date: Inserted 0 new rows (total 731)
2026-04-08 22:55:16 | INFO     | dwh_loader |   Removed 1,000 existing fact rows for reload
2026-04-08 22:55:16 | INFO     | dwh_loader | ✓ Loaded 1,000 rows into fact_sales
2026-04-08 22:55:16 | INFO     | dwh_loader |   Total Revenue: $2,855,059.14
2026-04-08 22:55:16 | INFO     | dwh_loader |   Average Order: $2,855.06
2026-04-08 22:55:16 | INFO     | dwh_loader | ✓ Referential integrity verified - all foreign keys valid
2026-04-08 22:55:16 | INFO     | dwh_loader | ✓ Data Warehouse connection closed
2026-04-08 23:25:12 | INFO     | main | Loading config from: C:\Users\nabil\OneDrive\Bureau\INFO S6\BI PROJECT\config\etl_config.yaml
2026-04-08 23:25:48 | INFO     | main | Loading config from: config\ecommerce_dwh_config.yaml
2026-04-08 23:25:49 | INFO     | dwh_loader | ✓ Connected to Data Warehouse: data/processed/ecommerce_dwh.db
2026-04-08 23:25:49 | INFO     | dwh_loader | ✓ Star Schema created from: config/star_schema.sql
2026-04-08 23:25:49 | INFO     | dwh_loader |   Tables: dim_customer, dim_date, dim_product, fact_sales, sqlite_sequence
2026-04-08 23:25:49 | INFO     | dwh_loader | ✓ dim_customer: Loaded 0 new, updated 199 existing rows
2026-04-08 23:25:49 | INFO     | dwh_loader |   Total unique keys: 199
2026-04-08 23:25:49 | INFO     | dwh_loader | ✓ dim_product: Loaded 0 new, updated 100 existing rows
2026-04-08 23:25:49 | INFO     | dwh_loader |   Total unique keys: 100
2026-04-08 23:25:49 | INFO     | dwh_loader | ✓ dim_date: Inserted 0 new rows (total 731)
2026-04-08 23:25:49 | INFO     | dwh_loader |   Removed 1,000 existing fact rows for reload
2026-04-08 23:25:49 | INFO     | dwh_loader | ✓ Loaded 1,000 rows into fact_sales
2026-04-08 23:25:49 | INFO     | dwh_loader |   Total Revenue: $2,855,059.14
2026-04-08 23:25:49 | INFO     | dwh_loader |   Average Order: $2,855.06
2026-04-08 23:25:49 | INFO     | dwh_loader | ✓ Referential integrity verified - all foreign keys valid
2026-04-08 23:25:49 | INFO     | dwh_loader | ✓ Data Warehouse connection closed
2026-04-08 23:54:19 | INFO     | main | Loading config from: config/elt_config.yaml
2026-04-08 23:57:07 | INFO     | main | Loading config from: config\etl_config.yaml
